UF Origem;Cidade de Origem;cityData.stateName;city_name
PR;Afonso Pena;Minas Gerais;Sabará
PR;Pinhais;São Paulo;Franca
PR;Pinhais;São Paulo;Franca
SP;Sao Paulo;Rio de Janeiro;Niterói
SP;Sao Paulo;Paraíba;Campina Grande
SP;Cotia;Parana;Curitiba
PR;Afonso Pena;São Paulo;Diadema
SP;Sao Paulo;Minas Gerais;Pedro Leopoldo
PR;Sao Jose Dos Pinhais;Santa Catarina;Maracajá
PR;Afonso Pena;São Paulo;São Paulo
#N/D;#N/D;Santa Catarina;Blumenau
PR;Pinhais;Parana;São José Dos Pinhais
SP;Sao Paulo;Pernambuco;Recife
SP;Cotia;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;São Paulo;Franca
SP;Sao Paulo;Minas Gerais;Muriaé
SP;Sao Paulo;São Paulo;São Bernardo do Campo
PR;Pinhais;São Paulo;São Paulo
PR;Pinhais;Santa Catarina;Capivari de Baixo
SP;Sao Paulo;Minas Gerais;Belo Horizonte
PR;Sao Jose Dos Pinhais;Santa Catarina;Maracajá
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;Santa Catarina;Blumenau
SP;Sao Paulo;Rio de Janeiro;Volta Redonda
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
PR;Curitiba;São Paulo;Santos
SP;Sao Paulo;Bahia;Salvador
PR;Sao Jose Dos Pinhais;Bahia;Salvador
PR;Pinhais;Santa Catarina;Tubarão
PR;Pinhais;São Paulo;Santo André
PR;Pinhais;Santa Catarina;Tubarão
SP;Sao Paulo;Rio de Janeiro;Rio de Janeiro
PR;Araucaria;Parana;Colombo
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
PR;Sao Jose Dos Pinhais;Santa Catarina;Itajaí
PR;Pinhais;Minas Gerais;Patrocínio
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;Pernambuco;Recife
SP;Sao Paulo;São Paulo;São Paulo
PR;Araucaria;Pernambuco;Recife
SP;Sao Paulo;Pernambuco;Recife
PR;Sao Jose Dos Pinhais;São Paulo;São Paulo
PR;Sao Jose Dos Pinhais;Goiás;Goiânia
PR;Pinhais;Minas Gerais;Ubá
PR;Pinhais;Parana;Curitiba
PR;Pinhais;Parana;Curitiba
PR;Pinhais;São Paulo;Franca
SP;Sao Paulo;São Paulo;São José do Rio Preto
PR;Pinhais;Parana;Piraquara
PR;Pinhais;Parana;Curitiba
PR;Afonso Pena;Parana;Curitiba
PR;Araucaria;Parana;Curitiba
PR;Pinhais;Parana;Piraquara
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;Parana;São José Dos Pinhais
PR;Araucaria;Pernambuco;Recife
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;Rio de Janeiro;Niterói
PR;Afonso Pena;Parana;Medianeira
SP;Sao Paulo;São Paulo;Osasco
PR;Afonso Pena;Rio de Janeiro;São João de Meriti
PR;Afonso Pena;Parana;São José Dos Pinhais
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;Matão
PR;Pinhais;Parana;Curitiba
SP;Sao Paulo;Rio Grande do Sul;Novo Hamburgo
PR;Curitiba;São Paulo;Santo André
SP;Sao Paulo;Rio Grande do Sul;Porto Alegre
PR;Afonso Pena;Rio de Janeiro;Rio de Janeiro
SP;Cotia;Rio de Janeiro;Rio de Janeiro
PR;Pinhais;Rio de Janeiro;Rio de Janeiro
PR;Pinhais;Santa Catarina;Capivari de Baixo
SP;Cotia;Parana;Curitiba
SP;Sao Paulo;São Paulo;Araraquara
PR;Pinhais;São Paulo;São José Dos Campos
SP;Sao Paulo;São Paulo;São Paulo
PR;Sao Jose Dos Pinhais;São Paulo;Catanduva
PR;Pinhais;São Paulo;Araras
SP;Sao Paulo;Ceará;Fortaleza
SP;Sao Paulo;São Paulo;São Paulo
PR;Sao Jose Dos Pinhais;Rio Grande do Sul;Porto Alegre
PR;Pinhais;Parana;Pinhais
PR;Pinhais;Parana;Curitiba
PR;Afonso Pena;Rio Grande do Sul;Cachoeirinha
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;Santa Catarina;Blumenau
PR;Curitiba;São Paulo;Santo André
PR;Afonso Pena;Ceará;Fortaleza
PR;Sao Jose Dos Pinhais;São Paulo;Ferraz de Vasconcelos
SP;Sao Paulo;São Paulo;São Paulo
PR;Sao Jose Dos Pinhais;São Paulo;São Paulo
PR;Afonso Pena;Rio de Janeiro;Rio de Janeiro
PR;Curitiba;Parana;Curitiba
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;Santa Catarina;Blumenau
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;São Paulo;São Paulo
PR;Afonso Pena;São Paulo;São Paulo
PR;Pinhais;Santa Catarina;Tubarão
SP;Sao Paulo;Rio de Janeiro;Rio de Janeiro
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;Bahia;Salvador
PR;Curitiba;São Paulo;Santos
PR;Pinhais;São Paulo;São Paulo
PR;Pinhais;Santa Catarina;Tubarão
PR;Pinhais;Parana;Pinhais
PR;Pinhais;Parana;Piraquara
PR;Pinhais;São Paulo;São Paulo
PR;Pinhais;São Paulo;São Paulo
PR;Pinhais;Santa Catarina;Tubarão
PR;Pinhais;Rio de Janeiro;Rio de Janeiro
PR;Pinhais;Parana;Pinhais
PR;Pinhais;Rio de Janeiro;Rio de Janeiro
SP;Sao Paulo;Ceará;Fortaleza
PR;Pinhais;Parana;Curitiba
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
PR;Afonso Pena;São Paulo;São Paulo
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;Sorocaba
#N/D;#N/D;Santa Catarina;Blumenau
PR;Pinhais;São Paulo;Monte Alto
PR;Afonso Pena;Pernambuco;Itaíba
PR;Pinhais;Parana;Curitiba
SP;Cotia;São Paulo;São Paulo
PR;Pinhais;São Paulo;São José do Rio Preto
PR;Pinhais;Santa Catarina;Tubarão
PR;Pinhais;São Paulo;São Paulo
PR;Pinhais;São Paulo;Mauá
PR;Pinhais;Parana;Curitiba
PR;Pinhais;Parana;Curitiba
PR;Curitiba;Parana;Curitiba
SP;Sao Paulo;Santa Catarina;Blumenau
PR;Pinhais;Santa Catarina;Tubarão
SP;Sao Paulo;Rio de Janeiro;Rio de Janeiro
SP;Sao Paulo;Rio de Janeiro;Rio de Janeiro
PR;Curitiba;Parana;Curitiba
SP;Sao Paulo;Rio de Janeiro;Volta Redonda
PR;Afonso Pena;Parana;Curitiba
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;Guarulhos
PR;Araucaria;Pernambuco;Olinda
SP;Sao Paulo;Paraíba;Campina Grande
SP;Cotia;Parana;Curitiba
SP;Sao Paulo;Parana;Londrina
SP;Sao Paulo;Santa Catarina;Blumenau
PR;Afonso Pena;São Paulo;São Paulo
SP;Sao Paulo;Minas Gerais;Muriaé
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;São Paulo;São Paulo
PR;Afonso Pena;São Paulo;São Paulo
PR;Sao Jose Dos Pinhais;Goiás;Goiânia
SP;Cotia;Minas Gerais;Itaúna
PR;Afonso Pena;São Paulo;São Paulo
SP;Sao Paulo;Santa Catarina;Blumenau
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;Parana;Colombo
PR;Pinhais;Santa Catarina;Blumenau
#N/D;#N/D;Santa Catarina;Blumenau
SP;Sao Paulo;Rio de Janeiro;Rio de Janeiro
SP;Cotia;Parana;Colombo
PR;Pinhais;Santa Catarina;Capivari de Baixo
PR;Sao Jose Dos Pinhais;Bahia;Salvador
PR;Afonso Pena;São Paulo;Guarulhos
PR;Pinhais;Parana;Araucária
SP;Sao Paulo;Rio de Janeiro;Rio de Janeiro
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;Ceará;Fortaleza
PR;Pinhais;São Paulo;São Paulo
PR;Sao Jose Dos Pinhais;Rio de Janeiro;Rio de Janeiro
PR;Araucaria;Parana;Araucária
SP;Cotia;Parana;Curitiba
SP;Sao Paulo;São Paulo;Guarulhos
PR;Pinhais;Santa Catarina;Tubarão
SP;Sao Paulo;Parana;Curitiba
PR;Sao Jose Dos Pinhais;Goiás;Goiânia
PR;Pinhais;Parana;Curitiba
SP;Sao Paulo;Ceará;Fortaleza
SP;Sao Paulo;Rio de Janeiro;Volta Redonda
PR;Afonso Pena;Rio de Janeiro;Rio de Janeiro
PR;Afonso Pena;Parana;Assis Chateaubriand
PR;Araucaria;Pernambuco;Recife
PR;Pinhais;São Paulo;São Paulo
PR;Sao Jose Dos Pinhais;São Paulo;São Bernardo do Campo
SP;Sao Paulo;São Paulo;São Vicente
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;Parana;Londrina
PR;Afonso Pena;São Paulo;São Paulo
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
PR;Curitiba;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;Parana;Curitiba
SP;Sao Paulo;São Paulo;São Paulo
PR;Afonso Pena;São Paulo;São Paulo
PR;Pinhais;São Paulo;São Paulo
PR;Sao Jose Dos Pinhais;Santa Catarina;Navegantes
PR;Afonso Pena;São Paulo;São Paulo
PR;Afonso Pena;Parana;Medianeira
PR;Afonso Pena;Bahia;Salvador
PR;Pinhais;São Paulo;São Paulo
PR;Pinhais;Ceará;Fortaleza
PR;Sao Jose Dos Pinhais;São Paulo;Penápolis
PR;Curitiba;Pernambuco;Recife
PR;Araucaria;Pernambuco;Recife
SP;Sao Paulo;Rio de Janeiro;Maricá
PR;Afonso Pena;Parana;Toledo
PR;Pinhais;Parana;Curitiba
PR;Pinhais;Bahia;Salvador
SP;Cotia;Parana;Curitiba
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
PR;Araucaria;Pernambuco;Paulista
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;Minas Gerais;Uberlândia
SP;Sao Paulo;Minas Gerais;Uberlândia
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;Santa Catarina;Capivari de Baixo
SP;Sao Paulo;Rio de Janeiro;Rio de Janeiro
SP;Sao Paulo;Minas Gerais;Belo Horizonte
PR;Pinhais;São Paulo;Franca
PR;Sao Jose Dos Pinhais;São Paulo;São Paulo
PR;Sao Jose Dos Pinhais;Goiás;Goiânia
SP;Sao Paulo;São Paulo;São Paulo
SP;Cotia;Parana;Curitiba
SP;Sao Paulo;São Paulo;Araraquara
PR;Sao Jose Dos Pinhais;Rio Grande do Sul;Porto Alegre
PR;Afonso Pena;Minas Gerais;Pompéu
PR;Araucaria;Parana;Campo Largo
PR;Afonso Pena;São Paulo;Campinas
PR;Afonso Pena;Parana;Cascavel
PR;Sao Jose Dos Pinhais;Goiás;Goiânia
PR;Sao Jose Dos Pinhais;Goiás;Goiânia
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;Parana;Maringá
SP;Sao Paulo;Paraíba;Campina Grande
PR;Pinhais;São Paulo;Marília
PR;Pinhais;Parana;Curitiba
PR;Pinhais;Santa Catarina;Tubarão
SP;Sao Paulo;São Paulo;Santo André
PR;Pinhais;São Paulo;Marília
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;Minas Gerais;Belo Horizonte
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;Distrito Federal;Brasília
SP;Cotia;Parana;Curitiba
SP;Sao Paulo;Ceará;Fortaleza
PR;Pinhais;Santa Catarina;Tubarão
SP;Cotia;Santa Catarina;Balneário Camboriú
SP;Sao Paulo;Parana;Curitiba
SP;Sao Paulo;Rio Grande do Sul;Porto Alegre
SP;Cotia;São Paulo;São Paulo
SP;Sao Paulo;Parana;Londrina
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;Parana;Londrina
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;Parana;Curitiba
SP;Cotia;Parana;Curitiba
SP;Sao Paulo;Parana;Londrina
SP;Sao Paulo;Minas Gerais;Belo Horizonte
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;Rio de Janeiro;Rio de Janeiro
PR;Pinhais;Parana;Londrina
SP;Cotia;São Paulo;São Paulo
SP;Cotia;São Paulo;Cotia
#N/D;#N/D;Santa Catarina;Blumenau
SP;Cotia;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;Mauá
PR;Afonso Pena;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;Ceará;Fortaleza
SP;Sao Paulo;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
PR;Pinhais;São Paulo;São Paulo
SP;Sao Paulo;São Paulo;São Paulo
#N/D;#N/D;São Paulo;São Paulo
SP;Sao Paulo;Rio de Janeiro;Rio de Janeiro
PR;Pinhais;Parana;Curitiba
PR;Pinhais;Distrito Federal;Brasília
PR;Pinhais;Parana;Curitiba
