created_at;_id;Origem;Destino;Mês;Dia da Semana;shipping.type;coupon.code;coupon.title;status_object.reason;cancellation_reason_translate;pharmacy_id;coupon.discount;total
22/03/2024 14:00;01HSKHP9ZFJ7V4-1;SP-SANTO ANDRE;sp-sao paulo;3;6;DELIVERY;COMPRINHA;CUPOM COMPRINHA - MAR24;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;9074;7,8;44,18
22/03/2024 13:43;01HSKGR3XHDPA7-1;SP-SAO PAULO;sp-sao paulo;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;4237;;37,99
22/03/2024 13:31;01HSKG10VBK2PM-2;RJ-RIO DE JANEIRO;rj-rio de janeiro;3;6;DELIVERY;;;CANCELLATION_OTHER;Outro;2214;;18,65
22/03/2024 12:44;01HSKDBNR6WV2M-1;SP-SAO PAULO;sp-sao paulo;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;12255;;39,65
22/03/2024 12:44;01HSKDBNR6WV2M-2;SP-SAO PAULO;sp-sao paulo;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;12257;;20,65
22/03/2024 12:27;01HSKCD8FJ3C8F-1;SP-SAO PAULO;sp-sao paulo;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;5619;;19,92
22/03/2024 12:17;01HSKBSY91EG5G-1;PR-CURITIBA;pr-curitiba;3;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;9007;;33,99
22/03/2024 11:52;01HSKABKBQXGNJ-1;MG-BELO HORIZONTE;mg-santa luzia;3;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;4604;0;24,98
22/03/2024 11:50;01HSKA9BP5X7ND-1;CE-FORTALEZA;ce-fortaleza;3;6;DELIVERY;CARRINHO;CUPOM CARRINHO - MAR24;CANCELLATION_OTHER;Outro;12549;15;70,04
22/03/2024 11:25;01HSK8TM143WRD-2;RS-PORTO ALEGRE;rs-alvorada;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;2324;;56,99
22/03/2024 11:25;01HSK8TM143WRD-1;RS-PORTO ALEGRE;rs-alvorada;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;2315;;58,79
22/03/2024 11:19;01HSK8G04MY60W-1;DF-BRASILIA;df-brasilia;3;6;DELIVERY;CLIENTEVIP;CAMPANHA MARÇO - CUPOM CLIENTEVIP;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13598;23;72,95
22/03/2024 11:06;01HSK7R10TWQ2R-1;BA-SALVADOR;ba-salvador;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;4081;;73,48
22/03/2024 10:47;MK240322SVUF91-2;PR-CURITIBA;pr-curitiba;3;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;;;342;0;193,8
22/03/2024 10:37;01HSK62HFASXJ0-1;RJ-RIO DE JANEIRO;rj-rio de janeiro;3;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;12923;;54,97
22/03/2024 10:28;01HSK5K1A7X1MS-1;SP-DIADEMA;sp-diadema;3;6;DELIVERY;CLIENTEVIP;CAMPANHA MARÇO - CUPOM CLIENTEVIP;CANCELLATION_GAVE_UP;Desistência do Cliente;8172;23;77,24
22/03/2024 10:27;01HSK5GJKC6Q6G-1;MG-BELO HORIZONTE;mg-belo horizonte;3;6;PICKUP;COMPRINHA;CUPOM COMPRINHA - MAR24;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;2906;7,78;44,12
22/03/2024 10:19;01HSK51MH7WSEW-1;DF-BRASILIA;df-brasilia;3;6;PICKUP;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;13602;0;63,99
22/03/2024 10:16;01HSK4VN5EB3ZV-1;SP-GUARULHOS;sp-sao paulo;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;2299;;60,13
22/03/2024 10:04;01HSK477JCF9PS-1;SP-SAO PAULO;sp-itaquaquecetuba;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;232;;39,8
22/03/2024 09:55;01HSK3PQR25BE5-1;SP-SAO PAULO;sp-sao paulo;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;9042;;56,01
22/03/2024 09:55;01HSK3NXM6MXTR-1;CE-FORTALEZA;ce-fortaleza;3;6;DELIVERY;MEDPASS;CUPOM MEDPASS - MAR24;CANCELLATION_POSSIBLE_FRAUD;Suspeita de fraude;12549;25;97,01
22/03/2024 09:38;01HSK2PC43YZ38-1;SP-SAO PAULO;sp-sao paulo;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14600;;27,11
22/03/2024 09:33;01HSK2D9WHEVPH-1;PR-ARAUCARIA;pr-fazenda rio grande;3;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;14340;;34,98
22/03/2024 09:23;01HSK1TSBG6RYX-1;SC-BLUMENAU;sc-blumenau;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;5433;;30,48
22/03/2024 09:16;MK240322141E2D-1;AL-MACEIO;al-maceio;3;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;10064;0;29,94
22/03/2024 08:55;01HSK08V93S1K1-1;DF-BRASILIA;df-brasilia;3;6;DELIVERY;;;CANCELLATION_OTHER;Outro;13584;;79,98
22/03/2024 08:49;01HSJZXPRZ7MJG-1;SP-SAO PAULO;sp-sao paulo;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14792;;69,47
22/03/2024 08:47;01HSJZT530GQS0-1;DF-BRASILIA;df-brasilia;3;6;DELIVERY;;;CANCELLATION_OTHER;Outro;14103;;48,99
22/03/2024 07:18;01HSJTPTYT9V8E-1;SC-BLUMENAU;sc-blumenau;3;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;161;;35,17
22/03/2024 02:31;01HSJA90F9ANVV-1;SP-SANTO ANDRE;sp-santo andre;3;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;13490;0;39,8
22/03/2024 00:13;MK240322T8B7PD-1;SP-SAO PAULO;rj-aperibe;3;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;11107;0;215,07
21/03/2024 23:59;MK240321CG4IP8-1;DF-BRASILIA;df-brasilia;3;5;PICKUP;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13583;0;45,94
21/03/2024 23:49;MK240321PHQEHZ-1;PR-CURITIBA;pr-curitiba;3;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;342;0;989,34
21/03/2024 23:45;MK2403210T3ADK-1;SP-SAO PAULO;sp-sao paulo;3;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14639;0;145,03
21/03/2024 23:45;01HSJ0SX2RMY6E-1;SP-SAO PAULO;sp-sao caetano do sul;3;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;9042;0;71,77
21/03/2024 23:35;MK2403214292S1-2;SP-SAO PAULO;sp-guarulhos;3;5;DELIVERY;Livelo;LIVELO SEM VALOR 2024;;;220;0;52,79
21/03/2024 23:34;MK240321DXK81F-1;SP-SAO PAULO;pr-maringa;3;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;13912;0;181,49
21/03/2024 23:34;MK240321DXK81F-2;SP-SAO PAULO;pr-maringa;3;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;11107;0;214,46
